,Abs_Total,Car.truck.or van,Car.truck.or vanDrove alone,Car.truck.or vanCarpooled,Car.truck.or vanCarpooledIn 2-person carpool,Car.truck.or vanCarpooledIn 3-person carpool,Car.truck.or vanCarpooledIn 4-person carpool,Car.truck.or vanCarpooledIn 5- or 6-person carpool,Car.truck.or vanCarpooledIn 7-or-more-person carpool,Public transportation (excluding taxicab),Public transportation (excluding taxicab)Bus,Public transportation (excluding taxicab)Subway or elevated rail,Public transportation (excluding taxicab)Long-distance train or commuter rail,Public transportation (excluding taxicab)Light rail.streetcar or trolley (carro público in Puerto Rico),Public transportation (excluding taxicab)Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Geography,NAME,state,State
1746,1916,1783,1586,197,136,33,0,20,8,29,29,0,0,0,0,0,0,0,4,15,85,1400000US17045070300,"Census Tract 703,Edgar County",17|045|070300,Illinois
1747,2314,2112,1963,149,78,39,31,1,0,0,0,0,0,0,0,0,0,8,105,0,89,1400000US17045070400,"Census Tract 704,Edgar County",17|045|070400,Illinois
1748,1479,1389,1339,50,23,15,3,9,0,3,0,0,0,3,0,0,0,0,12,22,53,1400000US17045070500,"Census Tract 705,Edgar County",17|045|070500,Illinois
1749,868,784,723,61,44,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,79,1400000US17047956900,"Census Tract 9569,Edwards County",17|047|956900,Illinois
1750,915,811,725,86,86,0,0,0,0,0,0,0,0,0,0,0,0,1,38,7,58,1400000US17047957000,"Census Tract 9570,Edwards County",17|047|957000,Illinois
1751,900,799,694,105,96,5,4,0,0,5,5,0,0,0,0,0,0,0,54,42,0,1400000US17047957100,"Census Tract 9571,Edwards County",17|047|957100,Illinois
1752,2530,2101,1991,110,83,14,13,0,0,4,4,0,0,0,0,0,0,4,12,9,400,1400000US17049950100,"Census Tract 9501,Effingham County",17|049|950100,Illinois
1753,2275,2023,1890,133,95,21,17,0,0,0,0,0,0,0,0,0,0,0,73,46,133,1400000US17049950200,"Census Tract 9502,Effingham County",17|049|950200,Illinois
1754,2110,1801,1650,151,105,20,9,17,0,4,4,0,0,0,0,0,0,0,108,29,168,1400000US17049950300,"Census Tract 9503,Effingham County",17|049|950300,Illinois
1755,1939,1759,1612,147,80,65,0,0,2,14,14,0,0,0,0,0,0,0,0,40,126,1400000US17049950400,"Census Tract 9504,Effingham County",17|049|950400,Illinois
