,Geography,NAME,HouseholdsTotal,HouseholdsTotalLess than $10|000,HouseholdsTotal$10|000 to $14|999,HouseholdsTotal$15|000 to $24|999,HouseholdsTotal$25|000 to $34|999,HouseholdsTotal$35|000 to $49|999,HouseholdsTotal$50|000 to $74|999,HouseholdsTotal$75|000 to $99|999,HouseholdsTotal$100|000 to $149|999,HouseholdsTotal$150|000 to $199|999,HouseholdsTotal$200|000 or more,HouseholdsMedian income (dollars),HouseholdsMean income (dollars),HouseholdsPERCENT ALLOCATEDHousehold income in the past 12 months,FamiliesTotal,FamiliesTotalLess than $10|000,FamiliesTotal$10|000 to $14|999,FamiliesTotal$15|000 to $24|999,FamiliesTotal$25|000 to $34|999,FamiliesTotal$35|000 to $49|999,FamiliesTotal$50|000 to $74|999,FamiliesTotal$75|000 to $99|999,FamiliesTotal$100|000 to $149|999,FamiliesTotal$150|000 to $199|999,FamiliesTotal$200|000 or more,FamiliesMedian income (dollars),FamiliesMean income (dollars),FamiliesPERCENT ALLOCATEDFamily income in the past 12 months,Married-couple familiesTotal,Married-couple familiesTotalLess than $10|000,Married-couple familiesTotal$10|000 to $14|999,Married-couple familiesTotal$15|000 to $24|999,Married-couple familiesTotal$25|000 to $34|999,Married-couple familiesTotal$35|000 to $49|999,Married-couple familiesTotal$50|000 to $74|999,Married-couple familiesTotal$75|000 to $99|999,Married-couple familiesTotal$100|000 to $149|999,Married-couple familiesTotal$150|000 to $199|999,Married-couple familiesTotal$200|000 or more,Married-couple familiesMedian income (dollars),Married-couple familiesMean income (dollars),Nonfamily householdsTotal,Nonfamily householdsTotalLess than $10|000,Nonfamily householdsTotal$10|000 to $14|999,Nonfamily householdsTotal$15|000 to $24|999,Nonfamily householdsTotal$25|000 to $34|999,Nonfamily householdsTotal$35|000 to $49|999,Nonfamily householdsTotal$50|000 to $74|999,Nonfamily householdsTotal$75|000 to $99|999,Nonfamily householdsTotal$100|000 to $149|999,Nonfamily householdsTotal$150|000 to $199|999,Nonfamily householdsTotal$200|000 or more,Nonfamily householdsMedian income (dollars),Nonfamily householdsMean income (dollars),Nonfamily householdsPERCENT ALLOCATEDNonfamily income in the past 12 months,state,State
25,0500000US17049,Effingham County,14104,3.5,3.5,9.8,8.1,11.9,19.8,14.0,17.4,6.0,6.0,65590,86133,37.8,9430,2.5,1.3,6.0,6.3,9.3,19.7,16.4,22.0,8.6,8.0,80344,103650,37.4,7465,1.1,0.7,3.1,5.0,6.9,18.2,18.8,26.2,10.6,9.4,93213,114805,4674,6.9,8.7,18.1,12.2,17.9,19.3,8.3,6.1,0.7,2.0,37403,47453,37.0,17|049,Illinois
26,0500000US17051,Fayette County,7609,6.8,6.4,12.7,11.4,15.0,17.9,10.0,13.9,3.7,2.2,47744,64006,42.3,5033,4.4,3.7,7.1,9.9,14.6,20.6,12.5,19.3,5.1,2.9,62908,76558,45.3,3938,3.8,2.5,4.6,9.3,12.2,20.4,14.1,23.1,6.5,3.5,71193,,2576,13.1,12.5,24.0,13.9,16.3,12.7,3.6,2.3,0.9,0.8,25289,36790,36.0,17|051,Illinois
27,0500000US17053,Ford County,5719,6.9,4.4,10.2,10.0,15.7,14.1,15.1,14.9,3.9,4.9,55011,72245,31.6,3432,2.5,1.7,4.4,8.1,14.4,15.2,19.8,21.5,6.2,6.4,77000,90981,33.5,2709,1.3,1.6,2.4,5.4,14.6,13.6,18.8,26.7,7.8,7.7,87243,,2287,13.8,8.4,20.0,12.7,18.2,12.4,7.9,4.3,0.5,1.8,29780,41695,28.1,17|053,Illinois
28,0500000US17055,Franklin County,16237,8.1,8.0,12.5,8.8,14.7,18.3,11.8,11.8,4.3,1.7,47751,61342,35.8,10104,5.4,3.1,8.7,8.1,13.6,21.0,15.3,16.1,6.2,2.6,60242,74621,36.2,7590,2.2,1.7,5.3,6.8,12.8,22.6,18.1,20.2,7.3,3.1,73273,85414,6133,14.9,15.3,20.0,10.4,15.9,12.8,5.7,3.5,1.3,0.2,24881,37174,33.9,17|055,Illinois
29,0500000US17057,Fulton County,13893,5.1,4.7,9.0,12.8,14.9,18.4,13.3,14.0,4.3,3.5,53441,73145,27.8,8547,4.4,2.4,6.8,7.3,13.7,20.0,14.7,19.7,6.4,4.5,66978,87722,27.6,6351,0.9,1.0,3.3,5.5,12.8,21.3,15.2,25.9,8.4,5.7,83352,102261,5346,9.4,9.9,15.5,16.9,17.3,15.5,10.0,3.2,0.8,1.7,33943,45869,25.9,17|057,Illinois
30,0500000US17059,Gallatin County,2133,9.9,6.8,9.8,8.4,13.5,19.8,10.4,11.7,4.8,4.7,52597,76488,38.0,1375,5.2,2.5,8.1,5.1,11.8,25.3,12.2,15.7,6.8,7.3,64837,98774,39.8,1001,0.1,1.6,5.8,2.9,7.9,29.1,15.6,18.6,8.7,9.8,77070,,758,19.0,16.6,12.9,15.2,14.5,11.3,4.7,4.5,1.2,0.0,26310,34866,34.8,17|059,Illinois
31,0500000US17061,Greene County,4512,5.3,5.0,11.6,9.8,12.9,19.6,11.5,16.0,3.4,4.8,54427,75235,45.9,2954,2.4,3.4,8.0,6.6,13.2,20.9,12.2,23.1,4.6,5.7,66265,88520,46.8,2262,1.1,2.4,4.7,5.3,9.0,21.5,14.8,28.4,6.0,6.8,87045,,1558,12.3,8.5,20.5,15.3,16.4,13.5,7.4,1.8,1.2,3.1,30746,46430,41.8,17|061,Illinois
32,0500000US17063,Grundy County,20159,2.7,2.3,6.2,6.8,10.4,17.5,14.5,20.2,10.3,9.0,81764,98728,30.5,14090,1.1,0.8,3.6,5.8,8.7,16.5,15.7,23.1,13.3,11.4,97308,112433,31.1,11160,0.7,0.7,2.6,3.2,7.6,14.3,16.8,25.5,15.4,13.2,104870,,6069,6.7,5.9,13.4,10.9,14.1,20.8,11.5,11.7,2.9,2.1,48884,61597,27.6,17|063,Illinois
33,0500000US17065,Hamilton County,3190,6.0,3.8,12.2,7.9,12.7,19.8,13.6,16.3,4.1,3.5,58306,70784,33.8,2166,5.5,0.7,7.1,3.4,12.0,23.8,15.7,21.2,6.1,4.5,72712,84100,34.1,1674,2.4,0.0,3.7,2.6,8.1,26.1,19.1,25.4,7.2,5.4,82745,,1024,7.8,10.3,22.5,18.0,14.3,11.0,8.6,6.1,0.0,1.6,30556,41884,31.8,17|065,Illinois
34,0500000US17067,Hancock County,7368,4.8,5.0,10.4,9.3,13.8,19.4,15.7,14.3,3.6,3.8,58188,75120,32.2,4721,4.0,2.7,4.4,5.7,11.6,20.0,20.7,21.0,5.0,5.0,76932,90563,32.3,4000,0.7,2.2,3.1,5.3,10.6,19.4,23.6,24.0,5.9,5.4,83802,,2647,7.7,9.6,20.7,15.2,18.3,17.7,6.2,2.7,0.7,1.1,32446,45279,31.7,17|067,Illinois
35,0500000US17069,Hardin County,1501,11.3,5.1,5.9,12.6,12.2,23.9,13.6,9.7,3.5,2.3,51738,68378,34.4,899,5.0,0.1,4.4,6.2,11.8,34.0,17.2,12.6,5.9,2.7,62075,87175,36.0,711,1.5,0.1,2.4,3.4,12.4,33.9,19.5,15.9,7.5,3.4,70990,,602,21.9,11.8,10.5,20.1,12.8,15.0,2.2,4.0,0.0,1.8,27035,36718,28.4,17|069,Illinois
36,0500000US17071,Henderson County,2696,2.2,3.2,10.9,11.9,14.2,17.0,14.2,22.6,2.3,1.5,62202,74603,46.7,1875,2.2,1.3,9.2,6.2,13.8,18.8,15.8,27.6,3.4,1.7,74037,84892,42.2,1557,0.6,1.5,4.5,4.6,12.5,19.3,18.3,32.8,3.8,2.1,84538,,821,4.3,7.7,18.0,21.6,14.3,11.4,10.5,11.4,0.1,0.7,33884,48928,54.0,17|071,Illinois
37,0500000US17073,Henry County,20109,4.8,4.0,8.8,8.6,13.6,18.0,13.6,17.3,6.4,4.9,62097,80860,28.8,13495,2.6,1.2,4.4,5.7,14.3,18.3,16.3,21.6,9.0,6.6,79764,97107,29.8,10543,0.9,0.5,3.8,3.7,11.9,16.4,17.1,26.4,11.0,8.3,92826,,6614,10.1,9.0,18.3,15.4,15.4,17.8,6.3,5.4,1.4,0.8,33542,43434,24.8,17|073,Illinois
38,0500000US17075,Iroquois County,11242,4.5,5.9,10.1,10.0,13.3,18.4,12.7,17.2,4.8,3.0,58481,72196,31.5,7400,2.4,2.1,4.6,7.9,13.2,19.6,16.2,22.7,6.8,4.5,75441,88810,33.7,5822,1.3,1.0,2.4,5.1,11.7,19.6,17.7,27.1,8.5,5.7,87617,100156,3842,10.2,13.7,20.8,15.9,13.6,15.2,5.0,5.1,0.5,0.0,28152,37117,26.9,17|075,Illinois
39,0500000US17077,Jackson County,23186,12.6,7.0,14.5,10.0,13.7,13.5,11.4,8.2,4.6,4.6,41699,64120,33.2,11659,6.3,3.3,8.4,6.7,13.5,15.1,17.0,13.7,7.6,8.4,67796,90448,34.0,8127,2.2,1.6,5.2,4.5,12.6,15.5,20.2,17.4,10.5,10.4,85360,106535,11527,20.3,10.5,21.2,13.5,13.4,11.6,5.0,2.5,1.3,0.7,23480,35948,31.3,17|077,Illinois
40,0500000US17079,Jasper County,3745,3.8,5.3,9.6,7.1,14.4,23.3,9.3,17.8,7.0,2.5,60237,73667,36.4,2665,1.4,6.0,5.3,7.6,11.5,22.3,11.6,22.4,8.9,3.1,70548,84374,34.3,2193,0.4,4.1,5.0,6.1,9.6,23.8,11.9,25.5,10.1,3.5,77893,,1080,9.8,4.8,20.7,8.1,19.5,25.3,4.4,6.3,0.0,1.0,37862,44294,41.5,17|079,Illinois
